안성시청 공공저작물 권리확인 요청 목록 (단순데이터),,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
11,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성3.1운동기념관 자원봉사자 모집(교육 ·행사활동),,2019-02-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
12,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성3.1운동기념관 자원봉사자 모집(환경정리활동),,2019-02-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
13,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성3.1운동기념관 자원봉사자 모집(홍보기자단),,2019-02-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
14,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 제18기 안성시 청소년참여위원회 위원 모집 안내,,2019-02-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
15,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성맞춤박물관 자원봉사자 모집,,2019-03-19 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
16,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(1기) 모집,,2019-06-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
17,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(2기) 모집,,2019-06-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
18,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(3기) 모집,,2019-06-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
19,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(4기) 모집,,2019-06-24 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
20,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(5기) 모집,,2019-07-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
21,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(6기) 모집,,2019-07-29 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
22,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(7기) 모집,,2019-08-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
23,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(8기) 모집,,2019-08-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
24,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(9기) 모집,,2019-08-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
25,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(10기) 모집,,2019-08-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
26,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(11기) 모집,,2019-08-26 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
27,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"선착순 2019년 하반기 오감발달 창의건강교실 참여자 모집(보건소, 6개월~12개월반)",,2019-08-26 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
28,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"선착순 2019년 하반기 오감발달 창의건강교실 참여자 모집(보건소, 13개월~24개월반)",,2019-08-26 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
29,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"선착순 2019년 하반기 오감발달 창의건강교실 참여자 모집(공도건강생활지원센터, 6개월~12개월반)",,2019-08-26 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
30,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"선착순 2019년 하반기 오감발달 창의건강교실 참여자 모집(공도건강생활지원센터, 13개월~24개월반)",,2019-08-26 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
31,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 2019 시민과 함께하는 기록문화대학,,2019-08-26 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
32,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 2019 시민과 함께하는 기록문화대학 자원봉사자 모집,,2019-09-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
33,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 2020년 안성3.1운동기념관 자원봉사자 모집(도슨트 활동),,2020-02-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
34,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 2020년 안성3.1운동기념관 자원봉사자 모집(교육 ·행사활동),,2020-02-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
35,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 2020년 안성3.1운동기념관 자원봉사자 모집(환경정리활동),,2020-02-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
36,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 2020년 안성3.1운동기념관 자원봉사자 모집(홍보기자단),,2020-02-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
37,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 박두진문학관 코로나-19 대응 청소년 자원봉사자 모집,,2020-08-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
38,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 안성맞춤 온라인 농촌체험교육 교육생 모집(캣닢),,2020-09-28 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
39,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 안성맞춤 온라인 농촌체험교육 교육생 모집(새싹인삼),,2020-09-28 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
40,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 코로나 블루 극복을 위한 반려식물교육 1차,,2020-10-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
41,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 코로나블루 극복을 위한 반려식물 교육 2차,,2020-10-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
42,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 코로나블루 극복을 위한 반려식물 교육 3차,,2020-10-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
43,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 코로나블루 극복을 위한 반려식물 교육 4차,,2020-10-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
44,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 코로나블루 극복을 위한 반려식물 교육 5차,,2020-10-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
45,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 코로나블루 극복을 위한 반려식물 교육 6차,,2020-10-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
46,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 안성맞춤 온라인 농촌체험교육(원예) 교육생 모집,,2020-10-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
47,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 안성맞춤 온라인 농촌체험교육 교육생 모집(곤충),,2020-10-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
48,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"추첨 온라인 농촌체험교육 추가모집 공고(곤충, 원예)",,2020-11-13 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
49,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 안성맞춤아트홀 '국립발레단 꿈나무 교실' 교육생 모집 공고,,2021-03-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
50,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 사랑의 PC 보급 신청,,2021-05-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
51,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(3기) 모집 (7.13.(화) 10:00 교육),,2021-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
52,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(4기) 모집 (7.13.(화) 14:00 교육),,2021-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
53,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(5기) 모집 (7.20.(화) 10:00 교육),,2021-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
54,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(6기) 모집 (7.20.(화) 14:00 교육),,2021-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
55,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(7기) 모집 (7.27.(화) 10:00 교육),,2021-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
56,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(8기) 모집 (7.27.(화) 14:00 교육),,2021-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
57,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(9기) 모집 (8.3.(화) 10:00 교육),,2021-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
58,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 구조 및 응급처치 교육(10기) 모집 (8.3.(화) 14:00 교육),,2021-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
59,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 2021년 농업인 정보화교육 (스마트폰을 이용한 미디어 크리에이터 교육),,2021-05-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
60,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성맞춤 온라인 농촌체험 3차 교육생 모집(로컬푸드 활용 비건베이킹 체험),,2021-05-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
61,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성맞춤 온라인 농촌체험 4차 교육생 모집(새싹인삼심기 및 천연비누만들기),,2021-05-24 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
62,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"추첨 꿈다락토요문화학교 예술감상교육 안성맞춤 꿈다락 ""청소년 문학살롱"" 교육생 모집",,2021-06-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
63,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 (추가 개설)심폐소생술 등 응급처치 교육(11기)모집 (8.10.(화) 14:00교육),,2021-05-31 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
64,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 안성맞춤 온라인 농촌체험 5차 교육생 모집(블루베리체험),,2021-06-28 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
65,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 우리쌀 가공 떡제조기능사 자격 취득 과정 교육생 모집,,2021-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
66,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 안성시 새내기 농업인 종합 교육생 모집,,2021-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
67,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"추첨 ""안성시 농업인"" 굴삭기, 지게차(3톤 미만) 면허 취득 교육생 모집",,2021-10-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
68,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 2022 안성시 녹색농업대학 청년농업학과 프로그램 교육참여 수요조사,,2021-10-23 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
69,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성 문화도시 네트워크 테이블 2회차(시민 누구나),,2021-11-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
70,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 응급처치 교육(보충1기) 모집(11.22(월) 13:00),,2021-11-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
71,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 응급처치 교육(보충2기) 모집(11.22(월) 15:00),,2021-11-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
72,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 응급처치교육(보충3기)모집(11.29(월) 10:00),,2021-11-09 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
73,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 응급처치 교육(보충4기) 모집(11.29(월) 13:00),,2021-11-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
74,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 응급처치 교육(보충5기) 보집(12.16(목) 13:00),,2021-11-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
75,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 심폐소생술 등 응급처치 교육(보충6기) 모집(12.16(목) 15:00),,2021-11-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
76,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"선착순 돗자리 음악회[일시:12.11.(토) 14시,장소:남사당공연장]",,2021-11-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
77,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"선착순 돗자리 음악회[일시:12.18.(토) 14시, 장소: 서안성체육센터]",,2021-11-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
78,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 농산물활용 강아지 간식제조 원데이클래스,,2021-12-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
79,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성로컬푸드직매장 홍보를 위한 소비자 요리 키트 체험행사 참여자 모집,,2021-12-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
80,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 비대면 DIY(바느질) 태교 클래스 참여자 모집(1기),,2022-01-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
81,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 농산물 상품 마케팅을 위한 캘리그라피 자격 취득 교육생 모집,,2022-01-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
82,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 2022년 농업인 정보화 교육(SNS 활용 농산물 홍보역량 강화) 교육생 모집,,2022-01-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
83,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 녹색농업대학(청년농업인학과) 교육생 모집(연령 제한 없음. 2023 청년농업인 관련시범사업 가산점부여),,2022-01-28 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
84,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 농업활용 소형건설기계(굴삭기·지게차) 교육 교육생 모집,,2022-01-28 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
85,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 농업용 드론 활용 인력양성 교육 교육생 모집,,2022-02-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
86,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 안성시 농업기술평생교육(포도전문가양성과정) 교육생 모집,,2022-02-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
87,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 2022 귀농창업지원과정 교육생 모집 공고,,2022-02-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
88,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 비대면 DIY(바느질) 태교 클래스 참여자 모집(2기),,2022-02-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
89,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 2022년 신규 강소농 모집 및 교육 안내,,2022-02-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
90,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 화훼장식기능사 자격 취득 실기과정 교육생 모집(필기합격자에 한함),,2022-02-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
91,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 비대면 출산준비교실 1기 모집,,2022-02-21 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
92,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 비대면 출산준비교실 1기 추가모집,,2022-02-24 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
93,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 아양도서관 원어민영어그림책방 북앤펀1 8~9세,,2022-03-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
94,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 아양도서관 원어민영어그림책방 북앤펀2 9~10세,,2022-03-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
95,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 아양도서관 원어민영어그림책방 키즈북클럽1 10~11세,,2022-03-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
96,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 아양도서관 원어민영어그림책방 키즈북클럽2 11~12세,,2022-03-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
97,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 아양도서관 원어민영어그림책방 대기신청(결원 발생시 충원),,2022-03-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
98,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 2022년 수제맥주 전문가 양성 과정 자격 취득 교육생 모집,,2022-04-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
99,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 비대면 DIY(바느질) 태교 클래스 참여자 모집(3기),,2022-04-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
100,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 비대면 출산준비교실 2기 모집,,2022-04-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
101,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성시농업기술센터 향토음식 조리기술 전수교육과정 교육생 모집,,2022-04-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
102,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 비대면 DIY(바느질) 태교 클래스 참여자 모집(4기),,2022-05-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
103,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 비대면 출산준비교실 2기 추가모집,,2022-05-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
104,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 농업용 드론활용 인력양성 교육 2차 교육생 모집,,2022-05-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
105,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 사랑의 PC 보급 신청,,2022-05-16 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
106,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 비대면 DIY(바느질) 태교 클래스 참여자 모집(5기),,2022-05-26 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
107,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 로컬푸드를 이용한 다문화 초청 고국음식 콘테스트 참여자 모집,,2022-06-08 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
108,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 농산물 활용 수제차 제조 교육생 모집,,2022-06-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
109,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 비대면 출산준비교실 3기 모집,,2022-06-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
110,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 비대면 DIY(바느질) 태교 클래스 참여자 모집(6기),,2022-06-27 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
111,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 비대면 출산준비교실 3기 추가모집,,2022-06-27 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
112,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,추첨 안성시 농업인 정보화교육(농업인 e-비즈니스 교육) 교육생 모집,,2022-07-04 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
